,Command,Check,Page,SAD,ADD,DATA,MSB,LSB,Comment
55,WR-bit, CHECK: O, PAGE: 0, SAD: 6D, ADD: B2, DATA: 01, MSB: 1, LSB: 0,COM: Force boost HiZ
56,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: B0, DATA: FE,,,
57,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: 51, DATA: 00 03,,,COM: noise gate TH
58,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: 50, DATA: 0B,,,COM: Noise gate off
59,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: E1, DATA: 00,,,COM: Cal off
60,WR-Reg, CHECK: O, PAGE: 0, SAD: 6d, ADD: fe, DATA: 01,,,COM: Set pag1
61,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: 21, DATA: 40,,,
62,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: 23, DATA: 40 01,,,
63,WR-Reg, CHECK: O, PAGE: 0, SAD: 6d, ADD: fe, DATA: 0,,,COM: Set pag 0
64,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: 80, DATA: c0,,,
65,WR-Reg, CHECK: O, PAGE: 0, SAD: 6d, ADD: fe, DATA: 01,,,COM: Set pag1
66,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: 13, DATA: 80 80,,,
67,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: 18, DATA: 10 00,,,
68,WR-Reg, CHECK: O, PAGE: 0, SAD: 2d, ADD: 02, DATA: 4,,,COM: VBIAS 16V
69,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: fe, DATA: 00,,,COM: Set pag 0
70,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: fe, DATA: 00,,,COM: Set pag 0
71,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 19, DATA: 01,,,COM: Spk_en = 
72,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: 19, DATA: 01,,,COM: Spk_en = 
73,WR-Reg, CHECK: O, PAGE: 0, SAD: 2f, ADD: 02, DATA: 34,,,COM: VBSO to 6 V 
74,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: FE, DATA: 01,,,COM: Set pag1
75,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 13, DATA: 80 00,,,COM: Clamp ON
76,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 18, DATA: 10 10,,,COM: Clamp ON
77,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: fe, DATA: 01,,,COM: Set pag1
78,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: 13, DATA: 80 00,,,COM: Clamp ON
79,WR-Reg, CHECK: O, PAGE: 0, SAD: 6D, ADD: 18, DATA: 10 10,,,COM: Clamp ON
80,WR-Reg, CHECK: O, PAGE: 0, SAD: 2f, ADD: 02, DATA: d,,,COM: VBSO to 12 V - value
